decimalLatitude,decimalLongitude,eventDate,month,species
-21.9013,113.9015,2005-05-31 12:00:00+00:00,5,whale_shark
-23.9736,35.5122,2008-11-29 12:00:00+00:00,11,whale_shark
12.9333,123.533,2008-04-05 12:00:00+00:00,4,whale_shark
-23.9736,35.5122,2009-02-14 12:00:00+00:00,2,whale_shark
-23.9736,35.5122,2007-03-11 12:00:00+00:00,3,whale_shark
12.9333,123.533,2009-03-04 12:00:00+00:00,3,whale_shark
-21.9013,113.9015,2004-06-19 12:00:00+00:00,6,whale_shark
27.40243,-89.872,2008-07-22 12:00:00+00:00,7,whale_shark
-23.9736,35.5122,2007-01-31 12:00:00+00:00,1,whale_shark
-21.9013,113.9015,2005-04-11 12:00:00+00:00,4,whale_shark
12.9333,123.533,2009-04-06 12:00:00+00:00,4,whale_shark
-21.8964,113.93288,1996-04-05 12:00:00+00:00,4,whale_shark
24.2915402859,-110.5954859448,2017-01-16 01:09:00+00:00,1,whale_shark
12.9333,123.533,2008-03-24 12:00:00+00:00,3,whale_shark
-21.9013,113.9015,2005-06-26 12:00:00+00:00,6,whale_shark
12.9333,123.533,2007-04-20 12:00:00+00:00,4,whale_shark
-21.9013,113.9015,2004-06-25 12:00:00+00:00,6,whale_shark
-21.92462,113.91592,1996-03-28 12:00:00+00:00,3,whale_shark
20.0776942137,40.2414562927,2026-04-11 05:14:00+00:00,4,whale_shark
-21.9013,113.9015,2000-07-02 00:00:00+00:00,7,whale_shark
-23.91667,35.53333,2008-12-10 12:00:00+00:00,12,whale_shark
-21.9013,113.9015,2009-05-15 12:00:00+00:00,5,whale_shark
-21.9013,113.9015,2005-07-15 12:00:00+00:00,7,whale_shark
21.75,-87.13333,2005-07-10 12:00:00+00:00,7,whale_shark
21.3248845137,-86.7675066323,2018-07-08 14:16:51+00:00,7,whale_shark
25.30635,34.86325,2005-10-16 12:00:00+00:00,10,whale_shark
12.9333,123.533,2008-05-06 12:00:00+00:00,5,whale_shark
-23.9736,35.5122,2003-11-23 12:00:00+00:00,11,whale_shark
-23.86794,35.39028,2005-05-15 12:00:00+00:00,5,whale_shark
24.3259068129,-110.5674284945,2019-11-02 11:38:58+00:00,11,whale_shark
-21.9013,113.9015,2009-06-25 12:00:00+00:00,6,whale_shark
19.0119043,-112.0670123,2018-06-30 16:03:00+00:00,6,whale_shark
-21.9013,113.9015,2003-05-10 12:00:00+00:00,5,whale_shark
21.2374557747,-86.2346875371,2025-07-20 16:03:00+00:00,7,whale_shark
28.89562,-113.4802783333,2024-07-02 19:35:52+00:00,7,whale_shark
-21.9013,113.9015,2009-04-25 12:00:00+00:00,4,whale_shark
12.9333,123.533,2009-04-21 12:00:00+00:00,4,whale_shark
12.9333,123.533,2006-05-03 12:00:00+00:00,5,whale_shark
3.6998076536,9.3370340665,2020-10-23 12:44:00+00:00,10,whale_shark
-23.9736,35.5122,2007-04-24 12:00:00+00:00,4,whale_shark
-21.9013,113.9015,2006-04-29 12:00:00+00:00,4,whale_shark
12.9333,123.533,2006-04-16 00:00:00+00:00,4,whale_shark
-23.0322,113.715,2003-05-10 12:00:00+00:00,5,whale_shark
-22.8195720577,113.6942797707,2019-06-14 05:35:03+00:00,6,whale_shark
12.0,123.0,2009-04-10 12:00:00+00:00,4,whale_shark
16.153175188,-95.2145529538,2022-11-16 14:52:36+00:00,11,whale_shark
25.6676609039,-111.1693415368,2016-02-16 19:58:00+00:00,2,whale_shark
12.9333,123.533,2010-02-26 12:00:00+00:00,2,whale_shark
6.2119773496,-77.5804529815,2025-04-16 20:32:00+00:00,4,whale_shark
-23.9736,35.5122,2005-10-23 12:00:00+00:00,10,whale_shark
12.9,123.58334,2009-04-09 12:00:00+00:00,4,whale_shark
-21.9013,113.9015,2008-06-19 12:00:00+00:00,6,whale_shark
12.9333,123.533,2008-02-03 12:00:00+00:00,2,whale_shark
12.9333,123.533,2010-02-19 12:00:00+00:00,2,whale_shark
-21.9013,113.9015,2007-07-04 12:00:00+00:00,7,whale_shark
-23.0322,113.715,2007-04-02 12:00:00+00:00,4,whale_shark
12.9333,123.533,2008-03-10 12:00:00+00:00,3,whale_shark
-23.0322,113.715,2003-03-31 12:00:00+00:00,3,whale_shark
-23.9736,35.5122,2008-03-06 12:00:00+00:00,3,whale_shark
21.5249414381,-86.6193068248,2017-07-31 15:49:00+00:00,7,whale_shark
-21.9013,113.9015,2004-05-06 12:00:00+00:00,5,whale_shark
3.9519403291,72.8784001376,2022-11-16 11:21:00+00:00,11,whale_shark
-23.9736,35.5122,2008-10-27 12:00:00+00:00,10,whale_shark
-23.9736,35.5122,2007-06-17 12:00:00+00:00,6,whale_shark
-21.8458,113.96665,2007-04-27 12:00:00+00:00,4,whale_shark
12.92667,123.54222,2008-02-03 12:00:00+00:00,2,whale_shark
-23.9736,35.5122,2009-07-04 12:00:00+00:00,7,whale_shark
-23.9736,35.5122,2005-11-19 12:00:00+00:00,11,whale_shark
-19.30445,147.62222,2009-01-03 12:00:00+00:00,1,whale_shark
29.0420021234,-113.4349990136,2018-10-18 15:40:00+00:00,10,whale_shark
-21.9013,113.9015,2003-05-01 12:00:00+00:00,5,whale_shark
-21.9013,113.9015,2004-05-22 12:00:00+00:00,5,whale_shark
-21.9013,113.9015,2003-06-11 12:00:00+00:00,6,whale_shark
-21.9013,113.9015,2009-05-21 12:00:00+00:00,5,whale_shark
-4.3734053015,55.9061451659,2026-05-11 00:12:38+00:00,5,whale_shark
-8.3942622049,117.6192808273,2026-05-19 20:48:00+00:00,5,whale_shark
-23.89472,35.54472,2008-10-21 12:00:00+00:00,10,whale_shark
-21.9013,113.9015,2006-05-06 12:00:00+00:00,5,whale_shark
-21.6155430351,113.6708608951,2020-07-22 12:01:00+00:00,7,whale_shark
12.9333,123.533,2009-05-16 12:00:00+00:00,5,whale_shark
28.9,-113.46667,2008-10-01 12:00:00+00:00,10,whale_shark
-21.9427973047,113.8954898384,2024-07-09 04:54:46+00:00,7,whale_shark
-21.9013,113.9015,2005-05-11 12:00:00+00:00,5,whale_shark
21.58333,-86.68333,2009-06-12 12:00:00+00:00,6,whale_shark
-21.9013,113.9015,2008-04-21 12:00:00+00:00,4,whale_shark
-21.96027,113.9108,2007-06-09 12:00:00+00:00,6,whale_shark
-21.9013,113.9015,2008-06-14 12:00:00+00:00,6,whale_shark
-21.9013,113.9015,2004-04-16 12:00:00+00:00,4,whale_shark
12.9333,123.533,2009-04-04 12:00:00+00:00,4,whale_shark
-21.9013,113.9015,2009-05-03 12:00:00+00:00,5,whale_shark
21.5727483424,-86.9009908399,2019-07-06 08:55:04+00:00,7,whale_shark
-21.9013,113.9015,2008-07-27 12:00:00+00:00,7,whale_shark
19.6162410853,-156.1509107069,2021-12-01 08:43:38+00:00,12,whale_shark
-21.9013,113.9015,2003-06-01 12:00:00+00:00,6,whale_shark
-21.9013,113.9015,2009-06-06 12:00:00+00:00,6,whale_shark
-23.9736,35.5122,2005-11-21 12:00:00+00:00,11,whale_shark
-21.9013,113.9015,2007-05-12 12:00:00+00:00,5,whale_shark
24.4304796275,-110.3247070313,2017-11-20 17:12:00+00:00,11,whale_shark
-21.9013,113.9015,2005-05-22 12:00:00+00:00,5,whale_shark
-21.9013,113.9015,2006-05-11 12:00:00+00:00,5,whale_shark
12.9333,123.533,2009-03-23 12:00:00+00:00,3,whale_shark
12.9333,123.533,2008-03-25 12:00:00+00:00,3,whale_shark
-23.9736,35.5122,2006-11-29 12:00:00+00:00,11,whale_shark
