decimalLatitude,decimalLongitude,eventDate,month,species,sst
-21.9013,113.9015,2009-04-24 12:00:00+00:00,4,whale_shark,25.675786608329787
16.09108,-86.84148,2005-02-16 12:00:00+00:00,2,whale_shark,28.369911366048147
-21.9013,113.9015,2003-05-25 12:00:00+00:00,5,whale_shark,25.675786608329787
16.1392,-86.9041,2006-05-28 12:00:00+00:00,5,whale_shark,28.382852796658298
-23.9736,35.5122,2005-11-27 12:00:00+00:00,11,whale_shark,25.938334449139674
1.37944,-91.81111,2003-06-16 00:00:00+00:00,6,whale_shark,26.092115092365773
28.9951072624,-113.5094255581,2024-06-26 20:20:54+00:00,6,whale_shark,22.417894165196273
-21.88333,113.93333,2001-05-01 12:00:00+00:00,5,whale_shark,25.55689110491427
12.91667,123.51667,2009-04-23 12:00:00+00:00,4,whale_shark,28.513830209574582
23.8803538707,58.3572094204,2025-06-03 06:01:00+00:00,6,whale_shark,28.2309258157083
27.78333,34.21667,2007-11-22 12:00:00+00:00,11,whale_shark,26.09119066385313
12.9333,123.533,2010-02-10 12:00:00+00:00,2,whale_shark,28.51596874092765
-21.9013,113.9015,2003-06-14 12:00:00+00:00,6,whale_shark,25.675786608329787
12.9333,123.533,2009-04-03 12:00:00+00:00,4,whale_shark,28.51596874092765
-23.0322,113.715,2008-04-19 12:00:00+00:00,4,whale_shark,25.036788672847557
21.55,-86.63333,2009-09-03 12:00:00+00:00,9,whale_shark,26.948283835644304
-21.9013,113.9015,2008-05-22 12:00:00+00:00,5,whale_shark,25.675786608329787
12.91667,123.51667,2009-05-09 12:00:00+00:00,5,whale_shark,28.513830209574582
-12.8870611472,45.3207654027,2015-09-03 18:39:00+00:00,9,whale_shark,27.996398181242906
-21.9013,113.9015,2002-04-06 12:00:00+00:00,4,whale_shark,25.675786608329787
12.9333,123.533,2008-04-09 12:00:00+00:00,4,whale_shark,28.51596874092765
-23.0322,113.715,1999-05-30 12:00:00+00:00,5,whale_shark,25.036788672847557
16.06952,-87.00471,2009-01-11 12:00:00+00:00,1,whale_shark,28.413114332513047
12.9333,123.533,2008-04-21 12:00:00+00:00,4,whale_shark,28.51596874092765
21.71667,-87.05,2002-08-27 12:00:00+00:00,8,whale_shark,26.829835167260512
-10.592632431,105.5704040442,2019-12-25 02:48:00+00:00,12,whale_shark,28.06112139303335
-23.9736,35.5122,2009-02-25 12:00:00+00:00,2,whale_shark,25.938334449139674
